time,Open,High,Low,Close,Volume
2022-06-10,30109.97,30327.8,28794.04,29162.26,141510
2022-06-13,27306.29,27475.78,22519.66,23150.43,358618
2022-06-14,23283.93,23289.93,20782.04,21915.27,312174
2022-06-15,22014.53,22338.78,19993.52,21590.92,308876
2022-06-16,21606.42,22939.26,20425.93,20636.3,319600
2022-06-17,20707.78,21311.14,20166.43,20573.26,270376
2022-06-20,20450.81,21023.01,19590.86,20382.34,267243
2022-06-21,20479.54,21681.73,20215.75,20802.36,200733
2022-06-22,20802.86,21001.68,19711.17,19823.42,205892
2022-06-23,19887.42,21080.81,19794.28,20764.88,188729
2022-06-24,20749.88,21419.52,20622.57,21215.94,186581
2022-06-27,21339.08,21496.25,20462.78,20866.44,162020
2022-06-28,20856.44,21173.01,20158.87,20203.72,155408
2022-06-29,20249.71,20414.21,19799.71,20160.65,177526
2022-06-30,20144.15,20309.75,18558.78,18679.69,196960
2022-07-01,18741.69,20843.18,18686.64,19373.94,212914
2022-07-04,19390.51,20076.75,19003.41,19714.91,197663
2022-07-05,19704.91,20702.64,19258.61,20416.94,224885
2022-07-06,20419.24,20451.24,19716.6,20344.45,203636
2022-07-07,20336.95,21807.79,20205.1,21577.13,190016
2022-07-08,21567.63,22466.99,21146.21,21833.75,232353
2022-07-11,21058.3,21149.13,20218.9,20378.14,248945
2022-07-12,20379.14,20391.0,19234.87,19413.55,262505
2022-07-13,19365.07,20055.92,18857.73,19633.68,262461
2022-07-14,19633.68,20860.57,19574.02,20632.45,259445
2022-07-15,20647.91,21172.25,20346.54,20913.25,253539
2022-07-18,20931.44,22730.06,20721.99,21451.63,284427
2022-07-19,21443.63,23684.74,21415.5,23272.6,267365
2022-07-20,23274.6,24260.86,22878.62,23226.41,270936
2022-07-21,23225.91,23764.36,22314.06,23092.75,248137
2022-07-22,23093.25,23737.03,22476.76,22534.64,231407
2022-07-25,22727.16,22995.13,21532.54,22141.32,207527
2022-07-26,22115.32,22150.17,20689.32,20955.51,202885
2022-07-27,20995.69,23090.74,20792.25,22753.42,200855
2022-07-28,22680.33,24187.78,22557.37,23985.41,214193
2022-07-29,23985.91,24417.26,23408.75,23916.28,204462
2022-08-01,23777.49,23803.74,22829.58,23142.48,233392
2022-08-02,23076.48,23441.61,22633.41,23017.6,257378
2022-08-03,22998.1,23628.75,22669.75,23298.06,210049
2022-08-04,23345.06,23345.9,22360.56,22498.41,237357
2022-08-05,22516.41,23441.49,22421.62,22946.75,205481
2022-08-08,23309.91,24228.75,23038.69,24077.85,231076
2022-08-09,23986.35,24001.85,22842.68,23124.4,195955
2022-08-10,23167.9,24174.11,22637.08,23869.48,196944
2022-08-11,23869.48,24896.49,23756.0,24217.0,203960
2022-08-12,24190.38,24312.47,23573.29,24179.32,189745
2022-08-15,24250.94,25197.33,23859.74,24061.94,224222
2022-08-16,24045.44,24231.0,23640.5,23958.45,354694
2022-08-17,23961.38,24426.0,23154.75,23419.5,345786
2022-08-18,23335.32,23576.25,23210.54,23387.07,404251
2022-08-19,23395.07,23407.75,21124.6,21255.5,500992
2022-08-22,21510.78,21688.83,20871.37,21090.79,267205
2022-08-23,21086.99,21664.25,20869.8,21440.88,274606
2022-08-24,21441.54,21878.45,21129.5,21672.25,261287
2022-08-25,21671.02,21793.0,21286.0,21626.08,249424
2022-08-26,21631.58,21858.0,20514.77,20631.75,229398
2022-08-29,19966.98,20401.5,19494.82,20148.17,248002
2022-08-30,20139.07,20556.25,19517.28,19939.94,282953
2022-08-31,19912.45,20472.53,19727.75,20169.98,311189
2022-09-01,20152.98,20270.34,19536.25,20047.98,450603
2022-09-02,20026.73,20422.0,19734.5,19892.75,417172
2022-09-05,19860.26,20043.75,19616.75,19709.71,153461
2022-09-06,19721.12,20162.86,18635.53,18942.73,330447
2022-09-07,18988.03,19437.5,18507.76,19348.11,177987
2022-09-08,19358.11,19446.0,18996.0,19358.75,257089
2022-09-09,19345.53,21419.44,19233.5,21241.85,242523
2022-09-12,21631.44,22471.34,21430.67,22394.3,195916
2022-09-13,22379.8,22771.87,20024.56,20214.36,379602
2022-09-14,20127.64,20503.55,19590.04,19914.25,340686
2022-09-15,19914.25,20381.66,19464.55,19813.74,356896
2022-09-16,19815.24,19875.99,19305.07,19719.0,343763
2022-09-19,19646.7,19678.28,18237.87,19490.56,348192
2022-09-20,19485.74,19666.5,18693.81,18941.69,331231
2022-09-21,18924.19,19887.42,18579.78,18888.18,338687
2022-09-22,18829.96,19475.5,18116.39,19212.31,400719
2022-09-23,19238.31,19500.12,18506.0,18868.25,371651
2022-09-26,18875.79,19293.5,18603.75,19093.51,239942
2022-09-27,19093.51,20359.0,18800.78,19051.72,141933
2022-09-28,19051.71,19635.08,18446.99,19549.56,138947
2022-09-29,19549.57,19747.28,18826.22,19485.51,139065
2022-09-30,19487.88,20153.25,19143.96,19388.44,126545
2022-10-03,19208.34,19626.56,18861.91,19573.8,111297
2022-10-04,19573.81,20432.65,19474.89,20316.06,116522
2022-10-05,20314.44,20384.05,19720.69,19963.33,116259
2022-10-06,19964.14,20426.4,19857.45,20029.33,115083
2022-10-07,20028.89,20034.21,19302.07,19510.86,86745
2022-10-10,19463.87,19502.68,19082.73,19216.5,73928
2022-10-11,19218.27,19257.21,18836.1,18996.44,79617
2022-10-12,18996.43,19175.27,18950.38,19149.44,62868
2022-10-13,19149.44,19483.25,18121.99,19362.53,85000
2022-10-14,19362.53,19929.24,19088.39,19151.62,98113
2022-10-17,19308.83,19652.67,19082.05,19507.42,71476
2022-10-18,19507.64,19683.22,19067.62,19343.33,75136
2022-10-19,19343.33,19353.08,19050.92,19172.93,62355
2022-10-20,19172.93,19324.5,18880.67,19002.34,57843
2022-10-21,19002.43,19221.09,18612.14,19140.98,52368
2022-10-24,19471.67,19670.56,19129.62,19352.44,54190
2022-10-25,19352.47,20389.45,19210.32,20156.86,53125
2022-10-26,20161.78,20997.98,19955.16,20718.87,78209
2022-10-27,20718.87,20877.73,20216.38,20366.0,66350
2022-10-28,20365.75,20718.67,19960.14,20617.21,64892
2022-10-31,20661.32,20815.69,20207.57,20378.89,53201
2022-11-01,20378.9,20665.13,20303.45,20422.99,49660
2022-11-02,20424.23,20774.86,20032.18,20122.88,55475
